#gene	DOGBOX_motif	SUBBOX_motif	SPRYSEC(Y/N)	Secreted(Y/n)	annotation	GH_domain	duplication_type	up_J2_v_14dpi	up_J2_v_egg	Up_14_vs_J2	 Up_14_vs_EGG	up_male_vs_dpi14	upregulated_LOG2_FDR:p<0.001
GPALN_010970	6	-	YES	YES	GPALN_010970-T1 RBP-1 protein	-	proximal	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP
GPALN_011399	3	-	-	YES	GPALN_011399-T1 ---NA---	-	singleton	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi14_vs_Gp_MALE_Gp_MALE_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_MALE_Gp_MALE_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_MALE_Gp_MALE_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP
GPALN_011823	4	-	YES	YES	GPALN_011823-T1 RBP-1 protein	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_011858	7	-	YES	YES	GPALN_011858-T1 RBP-1 protein	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_011865	3	-	-	YES	GPALN_011865-T2 Venom-Allergen-like Protein	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_EGG_Gp_EGG_UP; dpi14_vs_Gp_J2_Gp_J2_UP; dpi14_vs_Gp_MALE_Gp_MALE_UP; dpi21_vs_Gp_EGG_Gp_EGG_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_MALE_Gp_MALE_UP; dpi28_vs_Gp_EGG_Gp_EGG_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_MALE_Gp_MALE_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_MALE_Gp_MALE_UP; dpi7_vs_Gp_EGG_Gp_EGG_UP; dpi7_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_MALE_Gp_MALE_UP; EGG_vs_Gp_J2_Gp_J2_UP
GPALN_012007	4	-	YES	YES	GPALN_012007-T1 RBP-1 protein	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_EGG_Gp_EGG_UP; dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_012056	8	-	YES	YES	GPALN_012056-T1 RBP-1 protein	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_012064	4	-	YES	YES	GPALN_012064-T1 RBP-1 protein	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_012287	3	-	YES	YES	GPALN_012287-T1 RBP-1 protein	-	dispersed	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_MALE_Gp_dpi7_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_013168	1	-	YES	YES	GPALN_013168-T1 RBP-1 protein	-	proximal	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_013277	6	-	-	YES	GPALN_013277-T1 ---NA---	-	singleton	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_013280	6	-	-	YES	GPALN_013280-T1 ---NA---	-	singleton	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_013347	4	-	-	YES	GPALN_013347-T1 BTB/POZ domain-containing protein 2	-	proximal	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_013348	2	-	YES	YES	GPALN_013348-T1 RBP-1 protein	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	up_male_vs_dpi14	dpi14_vs_Gp_J2_Gp_J2_UP; dpi14_vs_Gp_MALE_Gp_dpi14_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_MALE_Gp_dpi7_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_013350	4	-	YES	YES	GPALN_013350-T1 RBP-1 protein	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	up_male_vs_dpi14	dpi14_vs_Gp_J2_Gp_J2_UP; dpi14_vs_Gp_MALE_Gp_dpi14_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_MALE_Gp_dpi21_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_MALE_Gp_dpi7_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_013383	4	-	YES	YES	GPALN_013383-T1 RBP-1 protein	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_013384	9	-	-	YES	GPALN_013384-T1 ---NA---	-	dispersed	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_013459	3	-	-	YES	GPALN_013459-T1 ---NA---	-	singleton	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_013480	2	-	YES	YES	GPALN_013480-T1 RBP-1 protein	-	tandem	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_013496	9	-	-	YES	GPALN_013496-T1 ---NA---	-	tandem	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_014034	1	-	-	YES	GPALN_014034-T1 chorismate mutase precursor protein	-	dispersed	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_014145	4	-	-	YES	GPALN_014145-T1 ---NA---	-	tandem	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_014146	3	-	-	YES	GPALN_014146-T1 ---NA---	-	tandem	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_014235	3	-	-	YES	GPALN_014235-T1 ---NA---	-	dispersed	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_014268	9	-	-	YES	GPALN_014268-T1 secreted SPRY domain-containing protein 15	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_014324	-	1	-	YES	"GPALN_014324-T1 GHF5 endo-1,4-beta-glucanase precursor"	CAZy:GH5_2; CAZy:GH5; 	proximal	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_EGG_Gp_EGG_UP; dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_EGG_Gp_EGG_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_014327	-	-	-	YES	"GPALN_014327-T1 GHF5 endo-1,4-beta-glucanase precursor"	CAZy:GH5_2; CAZy:GH5; CAZy:GH5_25; 	proximal	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_EGG_Gp_EGG_UP; dpi14_vs_Gp_J2_Gp_J2_UP; dpi14_vs_Gp_MALE_Gp_MALE_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_MALE_Gp_MALE_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_MALE_Gp_MALE_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_MALE_Gp_MALE_UP; dpi7_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_MALE_Gp_MALE_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_014354	10	-	-	YES	GPALN_014354-T1 DnaK family protein	-	tandem	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_014355	13	-	YES	YES	GPALN_014355-T1 RBP-1 protein	-	tandem	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_014357	12	-	YES	YES	GPALN_014357-T1 RBP-1 protein	-	proximal	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_014378	3	-	-	YES	GPALN_014378-T1 ---NA---	-	dispersed	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP
GPALN_014379	4	-	-	YES	GPALN_014379-T1 ---NA---	-	singleton	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_014381	4	-	-	YES	GPALN_014381-T1 ---NA---	-	singleton	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_014395	9	-	YES	YES	GPALN_014395-T1 RBP-1 protein	-	dispersed	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_014477	3	-	YES	YES	GPALN_014477-T1 RBP-1 protein	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_014498	3	-	-	YES	GPALN_014498-T1 gamma-glutamylcyclotransferase	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_014747	8	-	-	YES	GPALN_014747-T1 ---NA---	-	tandem	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_014750	7	-	-	YES	GPALN_014750-T1 ---NA---	-	proximal	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_014881	3	-	-	YES	GPALN_014881-T1 ---NA---	-	proximal	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_015014	3	-	-	YES	GPALN_015014-T1 putative effector protein	-	dispersed	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_015073	5	-	-	YES	GPALN_015073-T1 ---NA---	-	dispersed	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_015211	-	-	-	YES	GPALN_015211-T1 putative gland protein G20E03	-	proximal	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_015248	-	-	-	YES	"GPALN_015248-T1 GHF5 endo-1,4-beta-glucanase precursor"	CAZy:GH5_2; CAZy:GH5; 	dispersed	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_015280	6	-	YES	YES	GPALN_015280-T1 RBP-1 protein	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_015295	9	-	YES	YES	GPALN_015295-T1 RBP-1 protein	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_015296	5	-	-	YES	GPALN_015296-T1 RBP-1 protein	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_015298	7	-	YES	YES	GPALN_015298-T1 RBP-1 protein	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_015299	5	-	-	YES	GPALN_015299-T1 ---NA---	-	dispersed	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_015301	1	-	YES	YES	GPALN_015301-T1 RBP-1 protein	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_015302	5	-	YES	YES	GPALN_015302-T1 RBP-1 protein	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_015304	3	-	-	YES	GPALN_015304-T1 SPRYSEC effector SPRY-17I9-1	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_015309	7	-	YES	YES	GPALN_015309-T1 RBP-1 protein	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_015425	-	-	-	YES	GPALN_015425-T1 putative effector protein	-	singleton	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
